Time,open,high,low,close,volume,change
2003-07-25,698.53,705.6,696.64,705.09,489038937,0.0031
2003-07-28,715.44,719.21,714.42,717.8,466942529,0.018000000000000002
2003-07-29,718.42,722.47,715.01,722.33,566861755,0.0063
2003-07-30,721.66,724.23,714.07,714.15,502180870,-0.0113
2003-07-31,716.5,718.49,710.01,713.52,388887964,-0.0009
2003-08-01,718.84,728.38,718.25,727.26,456998276,0.019299999999999998
2003-08-04,719.57,724.17,717.46,718.54,439405109,-0.012
2003-08-05,723.15,726.3,720.64,721.84,481029834,0.0046
2003-08-06,710.87,713.32,705.86,707.88,464486976,-0.019299999999999998
2003-08-07,709.57,709.82,703.05,709.81,412240123,0.0027
2003-08-08,710.54,712.31,704.14,704.14,418308838,-0.008
2003-08-11,700.41,704.59,693.7,704.58,398684511,0.0006
2003-08-12,707.01,708.08,699.94,701.3,366109171,-0.004699999999999999
2003-08-13,705.58,713.81,704.93,713.08,407921261,0.0168
2003-08-14,714.2,727.01,713.46,727.01,482912277,0.0195
2003-08-18,728.92,734.81,727.56,730.1,498360623,0.0043
2003-08-19,745.65,745.77,738.0,740.13,614968643,0.0137
2003-08-20,740.44,745.03,736.64,737.2,497967192,-0.004
2003-08-21,741.7,754.34,741.7,754.34,534409429,0.0233
2003-08-22,754.88,759.15,751.7,754.72,506637680,0.0005
2003-08-25,754.17,760.85,752.34,756.73,419627055,0.0027
2003-08-26,754.23,755.63,749.2,753.0,426878136,-0.0049
2003-08-27,757.72,763.99,756.04,758.98,497011725,0.0079
2003-08-28,763.46,765.27,749.34,752.81,461035334,-0.008100000000000001
2003-08-29,756.76,760.09,746.92,759.47,431254992,0.0088
2003-09-01,763.22,765.64,759.36,764.11,370540308,0.0060999999999999995
2003-09-02,768.43,768.91,763.34,766.5,493042072,0.0031
2003-09-03,770.87,771.78,763.35,766.32,424949027,-0.0002
2003-09-04,768.1,769.98,763.87,764.15,407009318,-0.0028000000000000004
2003-09-05,766.43,768.9,759.81,761.55,376792318,-0.0034000000000000002
2003-09-08,759.49,761.91,756.01,760.25,343379216,-0.0017000000000000001
2003-09-09,763.36,775.88,763.36,767.46,408452693,0.0095
2003-09-15,764.68,767.27,753.61,753.61,411237830,-0.018000000000000002
2003-09-16,751.95,764.12,751.53,763.63,479461533,0.013300000000000001
2003-09-17,771.61,772.35,764.46,766.59,469797069,0.0039000000000000003
2003-09-18,768.39,769.28,756.73,758.18,411543373,-0.011000000000000001
2003-09-19,766.23,767.05,745.16,748.25,443018405,-0.0131
2003-09-22,741.54,741.68,714.75,714.89,426497718,-0.0446
2003-09-23,713.67,719.71,702.31,718.84,475526866,0.0055000000000000005
2003-09-24,721.0,725.49,715.86,724.7,419845027,0.008199999999999999
2003-09-25,707.58,714.56,699.83,713.52,412759490,-0.0154
2003-09-26,704.01,711.5,697.13,697.4,431810061,-0.0226
2003-09-29,697.26,698.77,688.07,696.06,379962889,-0.0019
2003-09-30,701.75,709.16,697.52,697.52,461262901,0.0021
2003-10-01,690.47,704.29,688.62,704.29,434294861,0.0097
2003-10-02,716.27,718.36,708.03,715.24,451448320,0.0155
2003-10-06,723.47,726.77,719.33,723.13,393278322,0.011000000000000001
2003-10-07,725.21,727.37,722.38,727.09,402770136,0.0055000000000000005
2003-10-08,731.12,731.45,721.29,722.76,316708780,-0.006
2003-10-09,723.13,736.16,722.94,736.16,603003040,0.018500000000000003
2003-10-10,735.25,759.6,735.25,757.89,445795577,0.029500000000000002
2003-10-13,754.5,764.33,747.02,757.02,453894109,-0.0011
2003-10-14,763.62,772.29,762.96,766.52,529574707,0.0125
2003-10-15,771.38,773.13,759.86,764.23,462560561,-0.003
2003-10-16,759.12,776.97,758.07,776.97,519719353,0.0167
2003-10-17,776.99,783.08,767.75,767.75,519240297,-0.011899999999999999
2003-10-20,766.33,777.97,765.13,776.44,473194603,0.0113
2003-10-21,780.56,785.02,772.91,779.89,448313032,0.0044
2003-10-22,780.54,784.14,773.3,779.28,486357108,-0.0008
2003-10-23,764.36,768.31,750.16,754.14,428501371,-0.0323
2003-10-24,752.31,759.55,743.38,748.17,362656267,-0.0079
2003-10-27,752.82,761.61,750.5,761.61,412847645,0.018000000000000002
2003-10-28,760.8,782.31,759.56,775.36,491641107,0.0181
2003-10-29,787.61,793.35,779.66,779.66,567926246,0.0055000000000000005
2003-10-30,784.78,787.82,778.42,785.94,471880048,0.008100000000000001
2003-10-31,787.95,789.46,775.38,782.36,484313366,-0.0046
2003-11-03,783.08,793.53,778.04,791.96,434447061,0.0123
2003-11-04,800.42,802.66,790.99,796.06,606374873,0.0052
2003-11-05,796.36,806.79,794.58,805.51,604294777,0.011899999999999999
2003-11-06,809.92,811.97,790.04,790.04,610742819,-0.0192
2003-11-07,796.58,804.05,789.97,804.05,469093023,0.0177
2003-11-10,800.98,802.32,788.65,796.56,537184352,-0.009300000000000001
2003-11-11,788.34,790.11,782.03,787.77,504103180,-0.011000000000000001
2003-11-12,788.91,798.33,786.0,796.31,509123501,0.0108
2003-11-13,805.79,813.11,803.93,813.11,510306836,0.021099999999999997
2003-11-14,809.94,818.34,807.67,809.89,597547049,-0.004
2003-11-17,803.48,803.95,790.14,794.47,504100304,-0.019
2003-11-18,794.24,801.2,787.6,800.97,642402858,0.008199999999999999
2003-11-19,785.28,785.28,769.43,771.7,717181193,-0.0365
2003-11-20,775.19,778.1,763.67,769.45,605281782,-0.0029
2003-11-21,764.12,777.96,762.36,770.78,624925439,0.0017000000000000001
2003-11-24,765.82,769.6,752.14,753.65,577949173,-0.0222
2003-11-25,768.1,770.28,761.98,768.11,526446243,0.0192
2003-11-26,769.76,783.8,769.3,782.65,532139225,0.0189
2003-11-27,783.13,784.86,776.4,781.68,502461433,-0.0012
2003-11-28,783.17,797.07,783.17,796.18,597539077,0.018500000000000003
2003-12-01,796.36,811.49,790.8,807.39,584981695,0.0141
2003-12-02,813.49,813.95,806.3,807.78,531989534,0.0005
2003-12-03,807.17,816.02,801.08,808.34,440581943,0.0007000000000000001
2003-12-04,805.1,809.68,800.31,805.13,493935192,-0.004
2003-12-05,802.71,802.86,789.41,789.41,426505593,-0.0195
2003-12-08,780.23,791.77,777.08,784.8,339973255,-0.0058
2003-12-09,790.52,793.13,784.6,787.35,398091984,0.0032
2003-12-10,774.53,794.64,774.04,794.64,454614254,0.009300000000000001
2003-12-11,797.12,805.81,791.13,791.13,424779509,-0.0044
2003-12-12,806.42,810.68,801.33,806.08,423443474,0.0189
2003-12-15,821.62,824.26,814.73,822.16,404611719,0.0199
2003-12-16,807.32,817.56,804.17,810.79,462744479,-0.0138
2003-12-17,816.98,817.39,799.82,800.09,479488543,-0.0132
2003-12-18,803.6,808.94,797.46,807.5,493068976,0.009300000000000001
2003-12-19,814.89,817.5,809.17,811.2,480452656,0.0046
2003-12-22,809.57,815.55,804.53,804.54,344954395,-0.008199999999999999
2003-12-23,809.9,812.75,801.62,801.88,406065596,-0.0033
2003-12-24,808.41,808.58,792.37,792.55,503657402,-0.0116
2003-12-26,791.39,794.78,786.11,788.85,414254207,-0.004699999999999999
2003-12-29,779.24,792.44,779.24,792.44,282393340,0.0046
2003-12-30,802.5,811.89,800.15,810.71,385852448,0.0231
2004-01-02,816.26,821.87,813.63,821.26,307493634,0.013000000000000001
2004-01-05,817.28,825.43,816.55,824.1,408258594,0.0034999999999999996
2004-01-06,831.26,831.26,819.53,823.43,484054833,-0.0008
2004-01-07,826.08,831.07,825.23,827.07,404563880,0.0044
2004-01-08,831.1,839.28,824.15,824.15,428758512,-0.0034999999999999996
2004-01-09,835.42,849.5,835.05,845.27,543285519,0.0256
2004-01-12,843.96,853.5,840.11,850.79,443937948,0.006500000000000001
2004-01-13,855.42,855.45,844.82,848.43,400184482,-0.0028000000000000004
2004-01-14,847.27,855.29,844.55,849.62,453005415,0.0014000000000000002
2004-01-15,849.02,852.19,841.84,845.66,388389883,-0.004699999999999999
2004-01-16,853.67,854.46,845.4,847.95,424963766,0.0027
2004-01-19,854.96,859.34,851.34,856.8,404253163,0.0104
2004-01-20,854.03,864.26,853.05,861.37,364450495,0.0053
2004-01-26,867.65,871.94,861.82,869.04,494021335,0.0089
2004-01-27,873.61,873.61,860.88,863.03,437707075,-0.0069
2004-01-28,860.37,869.21,859.08,859.59,432891393,-0.004
2004-01-29,851.7,854.82,847.98,853.47,365346457,-0.0070999999999999995
2004-01-30,854.21,859.13,846.05,848.5,447364704,-0.0058
2004-02-02,850.28,855.43,847.74,854.89,425187078,0.0075
2004-02-03,853.13,853.13,837.63,839.87,461984026,-0.0176
2004-02-04,838.52,842.6,834.7,835.5,378597318,-0.0052
2004-02-05,835.77,842.44,834.73,840.92,635917948,0.006500000000000001
2004-02-06,842.16,853.58,839.43,850.23,541538076,0.0111
2004-02-09,860.9,866.87,859.58,864.77,475219263,0.0171
2004-02-10,866.06,869.62,862.85,866.8,450039225,0.0023
2004-02-11,870.54,877.72,870.24,876.34,475304230,0.011000000000000001
2004-02-12,882.04,882.39,872.27,877.95,444121696,0.0018
2004-02-13,876.06,883.35,870.08,882.18,385305950,0.0048
2004-02-16,879.23,885.65,876.56,881.28,437969451,-0.001
2004-02-17,884.15,888.73,880.87,884.8,435761992,0.004
2004-02-18,889.23,890.51,877.1,877.1,370523257,-0.0087
2004-02-19,880.68,884.89,874.75,881.65,734768534,0.0052
2004-02-20,875.76,879.63,872.42,877.49,475493710,-0.004699999999999999
2004-02-23,874.93,881.43,867.99,877.52,476208051,0.0
2004-02-24,872.45,876.71,864.34,864.59,549389893,-0.0147
2004-02-25,865.22,870.03,862.97,866.87,524662607,0.0026
2004-02-26,870.31,873.15,861.77,864.86,522863470,-0.0023
2004-02-27,865.51,883.42,861.86,883.42,458651734,0.0215
2004-03-02,892.57,899.99,892.38,899.21,489083524,0.0179
2004-03-03,897.49,900.44,895.52,895.81,554723288,-0.0038
2004-03-04,898.16,908.82,896.76,907.43,589054279,0.013000000000000001
2004-03-05,907.21,909.08,904.01,905.38,515727056,-0.0023
2004-03-08,909.15,910.67,899.07,900.1,506522541,-0.0058
2004-03-09,891.1,893.73,888.46,891.58,474379144,-0.0095
2004-03-10,887.11,890.33,874.58,876.02,457319370,-0.0175
2004-03-11,869.67,878.1,866.33,869.93,468743002,-0.006999999999999999
2004-03-12,866.72,867.35,822.05,848.8,655649823,-0.024300000000000002
2004-03-15,855.84,857.96,848.23,852.26,383660116,0.0040999999999999995
2004-03-16,843.83,850.15,838.11,850.13,440153938,-0.0025
2004-03-17,858.15,872.78,857.29,872.38,524436644,0.0262
2004-03-18,879.22,879.56,869.09,872.82,488459156,0.0005
2004-03-19,874.57,883.33,868.97,883.33,425077820,0.012
2004-03-22,878.62,881.0,862.63,863.69,371613075,-0.0222
2004-03-23,854.92,868.99,849.76,866.17,383757854,0.0029
2004-03-24,860.39,867.15,856.54,861.72,311093441,-0.0051
2004-03-25,862.3,868.78,849.56,853.38,357256432,-0.0097
2004-03-26,866.29,873.01,861.63,863.95,303970866,0.0124
2004-03-29,868.1,878.37,867.21,874.67,335584525,0.0124
2004-03-30,879.41,879.41,870.86,873.46,287738046,-0.0014000000000000002
2004-03-31,881.75,883.88,868.41,880.5,327687894,0.008100000000000001
2004-04-01,878.78,883.23,875.09,882.75,294602890,0.0026
2004-04-02,886.09,889.6,882.82,883.69,541842227,0.0011
2004-04-06,899.43,906.43,898.0,906.19,491556262,0.0255
2004-04-07,906.78,915.13,903.24,909.93,528214107,0.0040999999999999995
2004-04-08,913.52,916.86,908.07,916.86,431836980,0.0076
2004-04-09,910.48,910.48,901.24,905.44,352119086,-0.0125
2004-04-12,905.44,926.07,905.44,918.86,366189056,0.0148
2004-04-13,925.19,927.67,916.2,917.63,468918947,-0.0013
2004-04-14,909.95,919.38,907.36,916.31,407157700,-0.0014000000000000002
2004-04-16,903.84,908.72,897.73,898.88,391726097,-0.019
2004-04-19,900.48,902.1,891.27,902.1,476138803,0.0036
2004-04-20,909.91,919.13,902.47,918.9,456844135,0.018600000000000002
2004-04-21,910.68,931.21,910.68,929.95,553997170,0.012
2004-04-22,931.09,933.84,921.97,924.01,519749176,-0.0064
2004-04-23,938.25,939.52,929.8,936.06,480356531,0.013000000000000001
2004-04-26,935.01,935.28,919.27,919.74,388049357,-0.0174
2004-04-27,918.82,921.42,911.56,915.47,435455263,-0.0046
2004-04-28,917.32,919.86,901.82,901.83,373377246,-0.0149
2004-04-29,890.61,896.45,872.63,875.41,442767261,-0.029300000000000003
2004-04-30,867.99,875.51,854.39,862.84,378723689,-0.0144
2004-05-03,863.03,867.25,856.84,866.11,331728332,0.0038
2004-05-04,871.57,876.3,865.68,867.48,376756997,0.0016
2004-05-06,864.52,865.1,836.15,837.68,359542950,-0.0344
2004-05-07,837.73,843.01,819.61,838.74,372059178,0.0013
2004-05-10,831.1,831.37,771.31,790.68,403021922,-0.057300000000000004
2004-05-11,789.54,802.29,776.72,791.02,362902609,0.0004
