ticker_code,company_name,last_update,status
102710,이엔에프테크놀로지,2026-02-09,EXISTING
009520,포스코엠텍,2026-02-09,EXISTING
002020,코오롱,2026-02-09,EXISTING
468530,프로티나,2026-02-09,EXISTING
420770,기가비스,2026-02-09,EXISTING
225570,넥슨게임즈,2026-02-09,EXISTING
079900,전진건설로봇,2026-02-09,EXISTING
399720,가온칩스,2026-02-09,EXISTING
486990,노타,,
114090,GKL,2026-02-09,EXISTING
248070,솔루엠,2026-02-09,EXISTING
086450,동국제약,2026-02-09,EXISTING
003850,보령,2026-02-09,EXISTING
060280,큐렉소,2026-02-09,EXISTING
067160,SOOP,2026-02-09,EXISTING
025980,아난티,2026-02-09,EXISTING
007700,F&F홀딩스,2026-02-09,EXISTING
003620,KG모빌리티,2026-02-09,EXISTING
074600,원익QnC,2026-02-09,EXISTING
126340,비나텍,2026-02-09,EXISTING
214320,이노션,2026-02-09,EXISTING
032500,케이엠더블유,2026-02-09,EXISTING
475960,토모큐브,2026-02-09,EXISTING
383310,에코프로에이치엔,2026-02-09,EXISTING
001680,대상,2026-02-09,EXISTING
476060,온코닉테라퓨틱스,2026-02-09,EXISTING
023160,태광,2026-02-09,EXISTING
365340,성일하이텍,2026-02-09,EXISTING
090360,로보스타,2026-02-09,EXISTING
253590,네오셈,2026-02-09,EXISTING
089970,브이엠,2026-02-09,EXISTING
475150,SK이터닉스,2026-02-09,EXISTING
251970,펌텍코리아,2026-02-09,EXISTING
005180,빙그레,2026-02-09,EXISTING
001060,JW중외제약,2026-02-09,EXISTING
00104K,CJ4우(전환),,
001270,부국증권,2026-02-09,EXISTING
025540,한국단자,2026-02-09,EXISTING
039130,하나투어,2026-02-09,EXISTING
000370,한화손해보험,2026-02-09,EXISTING
336570,원텍,2026-02-09,EXISTING
381970,케이카,2026-02-09,EXISTING
125490,한라캐스트,2026-02-09,EXISTING
018290,브이티,2026-02-09,EXISTING
005250,녹십자홀딩스,2026-02-09,EXISTING
287840,인투셀,2026-02-09,EXISTING
950210,프레스티지바이오파마,2026-02-09,EXISTING
0001A0,덕양에너젠,,
017940,E1,2026-02-09,EXISTING
372320,큐로셀,2026-02-09,EXISTING
456040,OCI,2026-02-09,EXISTING
268280,미원에스씨,2026-02-09,EXISTING
0120G0,삼양바이오팜,,
053800,안랩,2026-02-09,EXISTING
057050,현대홈쇼핑,2026-02-09,EXISTING
008730,율촌화학,2026-02-09,EXISTING
293940,신한알파리츠,2026-02-09,EXISTING
000640,동아쏘시오홀딩스,2026-02-09,EXISTING
002840,미원상사,2026-02-09,EXISTING
064260,다날,2026-02-09,EXISTING
211050,인카금융서비스,2026-02-09,EXISTING
005880,대한해운,2026-02-09,EXISTING
488900,비츠로넥스텍,,
058650,세아홀딩스,2026-02-09,EXISTING
019170,신풍제약,2026-02-09,EXISTING
090460,비에이치,2026-02-09,EXISTING
041190,우리기술투자,2026-02-09,EXISTING
084110,휴온스글로벌,2026-02-09,EXISTING
